slice_idx,hop_idx_in_batch,psnr_ceil,psnr_transport,attackable_gap_dB,psnr_transport_vs_ceil,latent_l2_rel
588,0,44.166352893246696,31.113710313078524,13.052642580168172,31.30796554360918,0.02924319405066687
589,0,50.95142383417054,42.322909413027276,8.628514421143265,42.93399169917906,0.03539297806929822
590,0,42.34012830484292,29.30485399706624,13.035274307776682,29.44608827761739,0.018512744662684055
591,0,48.006860776161574,35.55537687686518,12.451483899296392,35.7466647377243,0.021471117215093656
592,0,47.20778375904449,34.78011318438577,12.42767057465872,35.00582824149663,0.019224899538827712
593,0,39.47200064727673,31.976122674423287,7.495877972853442,32.31820205282741,0.03330379227246317
594,0,44.34498930641345,31.135955956658346,13.209033349755106,31.35348540343729,0.02764405672007573
595,0,42.94197454959861,30.360036530341574,12.581938019257038,30.521396152231688,0.01759640919876494
596,0,42.37191388648314,33.89387504185282,8.47803884463032,34.16845003663079,0.023019074167345402
597,0,70.23104438222572,71.41547094116414,-1.1844265589384264,77.95277373620577,0.004871986594990851
598,0,49.6441816003624,37.38456943188602,12.25961216847638,37.69355990495303,0.011683616184431474
599,0,52.09898966041979,40.798616524195076,11.300373136224714,41.231769495396804,0.01325556222015975
600,0,39.58449450063082,30.98828171538744,8.596212785243377,31.373127050531814,0.024302489474168888
601,0,39.9660279115286,31.955506337165673,8.010521574362926,32.25044456271341,0.03770647484351485
602,0,51.81210247254447,40.738728143413496,11.07337432913097,41.09670539907262,0.01201986781887464
603,0,44.007454220317385,31.26226091512091,12.745193305196477,31.488061719477393,0.016314839276233572
604,0,52.14025541494175,41.808043385114914,10.332212029826835,42.46211567505678,0.02487849026263406
605,0,52.581068927494385,41.235315107273294,11.345753820221091,41.73604697273986,0.010178284813290814
606,0,39.740763505912824,30.454953531388224,9.2858099745246,30.91577314594181,0.04711244159638319
607,0,43.25142114143404,30.653821956942423,12.597599184491614,30.813182954563462,0.01767057730124669
608,0,45.95067001782422,32.32174815436878,13.628921863455446,32.45129714306813,0.022212675644451212
609,0,44.768577355768755,30.70278064294271,14.065796712826046,30.813752040666635,0.01816607911466153
610,0,42.2125239813675,31.240078886873402,10.972445094494095,31.90576647641586,0.03753776198262651
611,0,48.528069311051496,37.49996001861814,11.028109292433356,37.925386550276016,0.02538499448088144
612,0,44.35843400924257,31.476079472323864,12.882354536918708,31.617269730341622,0.014773329281001064
613,0,43.035610213089385,30.276756502462177,12.758853710627207,30.410725324645682,0.020464262210370163
614,0,48.25487881108289,35.21947060259193,13.035408208490956,35.36875328521812,0.019959431312611436
615,0,52.5725247083131,41.71187339843718,10.86065130987592,42.162354705158734,0.0277109766348367
616,0,49.44828348194929,37.2947321886696,12.15355129327969,37.607048552133385,0.024859576149038637
617,0,45.00436824429673,31.572925785244994,13.431442459051734,31.717814623927254,0.024401185271833967
618,0,40.55952828079465,27.49952359479447,13.06000468600018,27.710663219518025,0.065913741559066
619,0,45.37594191461562,34.0476688859586,11.328273028657023,34.35576800274799,0.035285162890049716
620,0,45.07619271545158,33.22915750210256,11.847035213349024,33.58629509160802,0.055313062691653266
621,0,43.93414761620555,30.860767774501053,13.073379841704497,31.065090373526814,0.018628422289064042
622,0,50.25577785078656,38.379174303806465,11.876603546980093,38.73593777701386,0.018674244614145227
623,0,51.26274708777004,42.70613910377702,8.556607983993018,43.55712359465396,0.05807938407903262
624,0,53.05957840721014,42.14755274757576,10.91202565963438,42.534777804071126,0.013273905133929648
625,0,49.01194344590424,36.79209348248713,12.219849963417104,37.04376919131758,0.015206146158634292
626,0,51.12864023990723,39.09564489271479,12.03299534719244,39.449794011667684,0.012300508164598977
627,0,51.39026733834855,40.66099116965401,10.72927616869454,41.09321981630275,0.015586170576552769
628,0,39.689177786970845,31.4172012944606,8.271976492510245,32.01346529906807,0.051819414702260105
629,0,50.48945032463361,39.12635189769546,11.363098426938151,39.4960283058945,0.03149551999195567
630,0,44.03745393524635,30.71817356789261,13.319280367353738,30.842378775640675,0.025517597601816003
631,0,49.340374811188056,36.82671263948504,12.513662171703018,37.075079274345185,0.021057209132678674
632,0,51.28657905013753,39.94437742256328,11.342201627574255,40.27971071945295,0.014490823157709415
633,0,48.15577184613856,36.44234025858552,11.713431587553046,36.753361082318875,0.024136802785423912
634,0,49.19313095211167,37.14235947556689,12.050771476544782,37.38558160639073,0.02749219320714128
635,0,44.554837643536175,31.679530322662924,12.875307320873251,31.831689716228563,0.04329583414948931
636,0,54.02724990861324,43.60106757129236,10.426182337320881,44.0409096659359,0.007334016405078084
637,0,46.630628956632506,35.878403834021526,10.75222512261098,36.306184365872305,0.029245534118393937
638,0,45.23435449863874,32.4632346517233,12.77111984691544,32.71836429643335,0.03263031518853995
639,0,46.46847655710607,35.20535518213277,11.263121374973302,35.69938999761587,0.01797444950594976
640,0,43.14192297010675,30.13503053935831,13.006892430748437,30.275382046738006,0.026281877056420547
641,0,44.202204880681734,31.122212563281227,13.079992317400507,31.34447694560219,0.02742665625520063
642,0,43.480460007747396,30.313242864324405,13.167217143422992,30.477319208109552,0.02170367004866102
643,0,45.09412550713489,31.3235754115502,13.770550095584692,31.472778920699415,0.015432028293621237
644,0,49.49353546081316,37.69159704827588,11.801938412537282,37.9500703367963,0.01694388733530569
645,0,42.70162555457367,29.415109221957653,13.286516332616014,29.490893457210678,0.030938663452423052
646,0,50.458767732385596,37.809514903456446,12.64925282892915,38.03620381226915,0.013821964911510339
647,0,40.97297056939217,28.068438637435666,12.904531931956502,28.198474132340618,0.03818834382670174
648,0,42.506896041142255,32.50985549424897,9.997040546893288,32.93501132070297,0.03522873886729985
649,0,43.89759740667449,31.504297536922532,12.39329986975196,31.751432060605044,0.028543163220274566
650,0,40.5929503525428,30.236397500045214,10.356552852497586,30.40314087141126,0.030613994110875436
651,0,42.861186072656935,30.48694791401738,12.374238158639553,30.644877328634994,0.01554317183206793
652,0,41.577653915068254,28.626514585463564,12.95113932960469,28.79618569877584,0.05015586313604589
653,0,49.588063514755234,37.08807492738134,12.499988587373892,37.3566591788842,0.018875532589090853
654,0,43.40185973579568,31.321006062523086,12.080853673272596,31.52607537491335,0.02014070268035487
655,0,50.29680845419827,38.901847326724194,11.394961127474076,39.25376486204014,0.02181215197514793
656,0,43.63326069482805,35.107850653516294,8.525410041311758,35.38389710622595,0.04595895166755291
657,0,50.016480241469736,40.826730964543835,9.189749276925902,41.372807237058566,0.03469570886295146
658,0,50.74762175366928,38.320836547993444,12.426785205675834,38.47322924892967,0.016964935040064025
659,0,39.78247923364907,30.94823434550274,8.83424488814633,31.509157526532938,0.028231856783863224
660,0,55.510181824273744,48.25998991620065,7.250191908073091,49.64378502953464,0.034920910270515956
661,0,52.482163744330435,40.79384906078474,11.688314683545698,41.19546473144182,0.014337717559193735
662,0,47.40301335870346,35.698106775317164,11.704906583386297,36.065184406292204,0.06341963371195171
663,0,43.83083982708777,31.259136284846218,12.571703542241554,31.41630483860771,0.026726588861250088
664,0,72.06728654178501,74.56013398634583,-2.492847444560823,78.13440113112235,0.0018061023946360417
665,0,40.32844639476916,32.07155468143557,8.256891713333587,32.339695904320195,0.022541622922312366
666,0,50.855238756211904,42.79912457621997,8.056114179991937,43.55407977344149,0.03277426591731274
667,0,49.63324132069309,37.96410778219065,11.669133538502436,38.206910376459945,0.01586476230693237
668,0,47.8295152406544,35.16252482970613,12.666990410948273,35.34585331466436,0.01934491619253912
669,0,52.61270551825541,41.54323433680787,11.06947118144754,41.94132339413909,0.02281970813987053
670,0,43.57387598812973,30.53541225300337,13.03846373512636,30.696774048595298,0.02322009415813104
671,0,45.15630368873481,33.45689957644863,11.699404112286182,33.7485056473987,0.044361743602358075
672,0,49.49422822565559,37.057575103784664,12.436653121870926,37.335286723021035,0.019308036467064853
673,0,48.42075785155795,35.66017249136179,12.76058536019616,35.88726941679621,0.01722691508561826
674,0,39.36595559552335,26.016031473325416,13.349924122197937,26.15882278132074,0.02607038662670473
675,0,41.444758529275234,27.143522942450414,14.30123558682482,27.27460205378949,0.04000503923295878
676,0,42.42415333785587,28.36456174084912,14.05959159700675,28.512016790437173,0.028840298051673374
677,0,39.01439634230021,26.14034009465379,12.874056247646418,26.266677427628103,0.024236304649446472
678,0,37.586686891877335,28.00828324175512,9.578403650122215,28.380608119571924,0.020777535905760786
679,0,39.98704217304115,30.435175679316654,9.551866493724493,30.608568374333277,0.030945537401371306
680,0,45.026621514146115,34.253448800336415,10.7731727138097,34.67213452917821,0.04812159249168674
681,0,42.4716646630725,29.200876827750562,13.27078783532194,29.338929331993025,0.01922678926236449
682,0,40.635860166659725,29.453778327470285,11.18208183918944,29.908538285846614,0.044308558680708356
683,0,51.29089863535299,39.37995092544236,11.91094770991063,39.7623070240455,0.01601681939164571
684,0,39.02268544011861,25.568036444555393,13.454648995563215,25.692668037203667,0.03948640176319974
685,0,39.98338969614075,26.46494001864155,13.518449677499198,26.48157926612239,0.02298188630876521
686,0,42.43962012406109,29.25579415819874,13.183825965862354,29.412278570877433,0.03499577738219927
687,0,42.128994506755674,28.652256510618535,13.476737996137139,28.870428140530368,0.018774110872278888
688,0,47.29315786119635,36.306198764541435,10.986959096654914,36.66112302192832,0.023154161459442428
689,0,40.59657661746955,27.169206937757036,13.427369679712516,27.27438803283795,0.028015269320459474
690,0,38.773443051325515,26.144495027874154,12.628948023451361,26.211887009256696,0.03115098803509606
691,0,48.563362511823996,35.36199387095077,13.201368640873227,35.531536809905525,0.022203401405444675
692,0,38.629866919166034,31.140753937820733,7.489112981345301,31.34769088145761,0.02898187645075596
693,0,42.174028352753254,28.76369458161057,13.410333771142685,28.93350180151744,0.028596634197997534
694,0,42.72661120492691,29.869334935357603,12.857276269569308,30.13532493639278,0.045686187523116775
695,0,49.15796325147895,37.3503036564193,11.807659595059647,37.760003613965814,0.021756534501476788
696,0,42.61614929467602,28.30635785545843,14.309791439217591,28.452794691546988,0.032981510435360684
697,0,48.5653377921394,35.958736275065775,12.606601517073628,36.22712121102211,0.015534153537969045
698,0,46.46250750989633,35.27625397859718,11.186253531299144,35.684539109200415,0.015154152778823543
699,0,38.245505855275184,29.443975523282802,8.801530331992382,29.58970182804546,0.036949914601293064
700,0,48.175381486628666,36.05049680026339,12.124884686365277,36.33400459273018,0.023677684938649617
701,0,35.56343323239997,28.077518615351373,7.4859146170486,28.836682339137322,0.02170347862767967
702,0,44.666529926186456,30.9175661391253,13.748963787061157,31.101595566338982,0.040519576077460095
703,0,42.606625212081454,29.531286679449256,13.075338532632198,29.65994255669472,0.026941720234717054
704,0,41.67962642100834,28.473328774705543,13.206297646302794,28.669812281493847,0.026103274828428297
705,0,45.38735415299628,32.348194284968336,13.039159868027944,32.54247589177773,0.03340794679429304
706,0,42.341175545277,29.007223325578792,13.333952219698205,29.261820156152627,0.03112944778940325
707,0,47.42651770276859,35.026602657449516,12.399915045319077,35.20120201547701,0.011834972109145714
708,0,41.05741073656204,27.79168096323763,13.26572977332441,27.975491599561508,0.02195702045487754
709,0,46.849061031371036,34.03415838939861,12.814902641972424,34.26454234343352,0.019136699633173736
710,0,42.30828308769631,31.84109658980731,10.467186497889,32.59547726252379,0.06465257410202999
711,0,41.20673164941777,28.701837318192158,12.50489433122561,28.91665920508012,0.03644509230672451
712,0,49.053004397396236,36.66173920504738,12.391265192348854,36.94168564573478,0.04196117824199521
713,0,41.40338595967819,28.97850208611714,12.42488387356105,29.172018333492456,0.02710250066881205
714,0,48.412423181405686,37.001500486391535,11.41092269501415,37.264081154285336,0.02932699557534488
715,0,50.29320398148876,38.759771487409566,11.533432494079193,39.223461678305966,0.012750730083924465
716,0,40.36842831578992,26.68396242258125,13.684465893208671,26.701760571693303,0.03295662128701798
717,0,42.37271027742122,29.32943676922494,13.043273508196279,29.45945263321347,0.03627643106497721
718,0,43.26836531855355,32.063234081005874,11.205131237547675,32.58607875237382,0.026145191721748878
719,0,42.026771009945975,28.60245575907044,13.424315250875534,28.811563955606463,0.019415079509995326
720,0,40.98013970547889,28.39270249532213,12.58743721015676,28.51514385890378,0.024825033898292253
721,0,51.02264062927557,39.382338467945544,11.640302161330027,39.835954392746316,0.016272335215183682
722,0,38.17011099444974,25.27093061842292,12.899180376026823,25.304370950701355,0.033755391103461076
723,0,41.11205474730063,28.155721826070966,12.956332921229667,28.334014991876206,0.01991127847681953
724,0,43.135783038576875,30.019272655904683,13.116510382672192,30.259468160022323,0.023785011373074063
725,0,42.426420614794,28.29475159215604,14.131669022637958,28.429232852098313,0.04094112379274874
726,0,48.55831915495574,36.48420396829023,12.074115186665509,36.727843425745036,0.03218022208825717
727,0,38.98310554508498,26.026778656396445,12.956326888688537,26.170599864875282,0.06303021894845195
728,0,48.01751653104647,35.4676416794331,12.549874851613367,35.68727605729297,0.023139693044368925
729,0,43.76095618363826,32.628690791525955,11.132265392112302,33.16325364500065,0.024138239518182808
730,0,41.89778175760763,28.339562466397712,13.55821929120992,28.479658838983823,0.020141565150169717
731,0,41.39817014667354,27.714744647765446,13.683425498908097,27.90637888996404,0.03605813371752657
732,0,50.25126261360174,38.964927973837945,11.286334639763794,39.32940085779869,0.016387445899698917
733,0,38.42421452168885,30.934188950592922,7.490025571095931,31.15991627882835,0.03338617427076263
734,0,39.130907818899594,25.70091500040247,13.429992818497123,25.76466540117173,0.027653261886013504
735,0,43.69168733954787,34.24192040720315,9.449766932344716,34.265705971357605,0.13329947175035828
736,0,45.561661957296366,34.45095600861512,11.110705948681243,34.868202100704934,0.023339760231842897
737,0,48.69433107079331,36.9301755788761,11.764155491917208,37.21794318638436,0.011405894451658124
738,0,38.755376810876356,25.702431684427694,13.052945126448662,25.77283674757393,0.030765044622338533
739,0,48.22322015400924,36.646007068570334,11.577213085438906,36.86770348533558,0.013960749424584229
740,0,49.370907250128795,37.52389738938983,11.847009860738964,37.83212137654322,0.029960958206803348
741,0,49.731113434800335,37.89396589882512,11.837147535975213,38.27473842303684,0.02553472655345052
742,0,39.25643144852749,26.121074295673775,13.135357152853718,26.14003409497276,0.027070985030241593
743,0,41.53906039812088,28.434225493652693,13.104834904468188,28.67147045689813,0.01928013847213124
744,0,48.86058310192239,37.423291052032155,11.437292049890232,37.74865237217881,0.016306150054158804
745,0,47.93089919336161,35.694913927925924,12.235985265435687,35.946233614444296,0.020885528171180636
746,0,50.522283917317125,39.10129718864114,11.420986728675985,39.39337933245719,0.012577250190044457
747,0,45.68850534302062,32.676790892416506,13.011714450604117,32.868283508410485,0.05803422593381435
748,0,44.74970374117393,33.212779884083744,11.536923857090187,33.55965026776424,0.02964539964364898
749,0,47.952228873691354,35.6323993652349,12.31982950845645,35.863890910776036,0.01682774534336846
750,0,50.626196929617734,39.6960965849006,10.930100344717133,40.074675206467376,0.011857414606110853
751,0,41.1086898894128,27.757666026429728,13.351023862983073,27.829332011761437,0.0301492110633722
752,0,47.39406144454226,35.35911899619147,12.03494244835079,35.65901741054809,0.015321909610203906
753,0,48.84016542177312,38.61622218490638,10.223943236866745,39.22650976596496,0.01569714097579723
754,0,42.46904383834028,28.348255513058806,14.120788325281477,28.536665360562015,0.03130855976471032
755,0,39.91156601625413,29.364852688471675,10.546713327782452,29.996168417427544,0.0202859826020094
756,0,47.722746826885654,35.27074812248793,12.451998704397724,35.49456883088499,0.030134886751734095
757,0,43.13310348247769,29.26426681443319,13.868836668044505,29.414670112590102,0.017805032258866
758,0,46.235948483788334,34.5717020377342,11.664246446054136,34.887137035653694,0.026396770510383912
759,0,50.512779208801646,38.943991913828995,11.568787294972651,39.39352393929177,0.021163811262112777
