sample_id,slice_idx,dst,direction_idx,top_patchgrid_energy_frac,random_patchgrid_energy_frac,top_minus_random,top_over_random
9,1730,NORMAL,7,0.40248616777121426,0.37365827204303365,0.02882789572818062,1.0771504283059483
10,2103,NORMAL,0,0.26638188088350717,0.39248938999308824,-0.12610750910958107,0.6786982977761467
10,2103,NORMAL,1,0.27276472189638123,0.407486559747239,-0.13472183785085778,0.6693833584734065
10,2103,NORMAL,2,0.2834079454014984,0.4070980364684898,-0.12369009106699141,0.696166328533581
10,2103,NORMAL,3,0.25660513494318676,0.4081478377239492,-0.15154270278076243,0.6287063441868377
10,2103,NORMAL,4,0.25190628569238044,0.4192833157149905,-0.16737703002261006,0.6008020740410638
10,2103,NORMAL,5,0.2667274709343467,0.3867811197352393,-0.12005364880089264,0.689608301245231
10,2103,NORMAL,6,0.31782694802012934,0.4054126419743765,-0.08758569395424715,0.7839591446194151
10,2103,NORMAL,7,0.3587802297042532,0.4194455055216389,-0.06066527581738568,0.8553679202213885
11,3587,NORMAL,0,0.3566109253036388,0.3497136362431536,0.006897289060485201,1.019722676915262
11,3587,NORMAL,1,0.3702041156941041,0.3881482393365297,-0.01794412364242559,0.9537699213241367
11,3587,NORMAL,2,0.3571975424555349,0.37739434365049246,-0.020196801194957537,0.9464835614662472
11,3587,NORMAL,3,0.24414998802162788,0.3874195052537234,-0.1432695172320955,0.6301953946839424
11,3587,NORMAL,4,0.2432043445598078,0.3425432860724215,-0.09933894151261372,0.7099959463470226
11,3587,NORMAL,5,0.41285974065696035,0.3740226940237811,0.03883704663317927,1.1038360699864644
11,3587,NORMAL,6,0.19501596745184452,0.38467039606345665,-0.18965442861161214,0.5069690037173382
11,3587,NORMAL,7,0.29292983570145703,0.3774741742515826,-0.08454433855012555,0.7760261646568233
12,5049,NORMAL,0,0.302878829584389,0.41764927129179963,-0.11477044170741063,0.7251989896871536
12,5049,NORMAL,1,0.2840309897906701,0.41493432194358215,-0.13090333215291206,0.6845203560415262
12,5049,NORMAL,2,0.28414262088773296,0.38974392272142816,-0.1056013018336952,0.7290495228345757
12,5049,NORMAL,3,0.26759302314157063,0.3932119135559543,-0.12561889041438368,0.6805313214486112
12,5049,NORMAL,4,0.2889242504696028,0.4088051221777728,-0.11988087170817002,0.7067530096747695
12,5049,NORMAL,5,0.3048461538647779,0.4104251783637659,-0.10557902449898798,0.7427569504388161
12,5049,NORMAL,6,0.3411236282842729,0.4123679827340417,-0.07124435444976879,0.8272311201819998
12,5049,NORMAL,7,0.39113760221687144,0.40757583745539583,-0.01643823523852439,0.9596682783229922
13,5318,NORMAL,0,0.2825974493705095,0.40576385238587787,-0.12316640301536835,0.6964579217908298
13,5318,NORMAL,1,0.3007287203937826,0.41059947220297877,-0.10987075180919614,0.7324138016551521
13,5318,NORMAL,2,0.28640706147049816,0.40497681090286475,-0.11856974943236659,0.7072184227832097
13,5318,NORMAL,3,0.27658262144952966,0.41122685627859445,-0.1346442348290648,0.6725791791724635
13,5318,NORMAL,4,0.298076883508713,0.4000875059739407,-0.10201062246522774,0.745029222502459
13,5318,NORMAL,5,0.2901893646013583,0.4015742462644922,-0.11138488166313387,0.722629419841402
13,5318,NORMAL,6,0.33260529876859296,0.418465048061792,-0.08585974929319906,0.79482217286515
13,5318,NORMAL,7,0.34864464013173563,0.39922297286528585,-0.050578332733550224,0.8733080604792315
14,6155,NORMAL,0,0.5019717105035861,0.34927615122317157,0.15269555928041456,1.4371771698287212
14,6155,NORMAL,1,0.46124129842469214,0.35936384009575967,0.10187745832893247,1.2834939049565621
14,6155,NORMAL,2,0.4852296225321717,0.3494323764893916,0.1357972460427801,1.3886223921408805
14,6155,NORMAL,3,0.4497650495269435,0.3608460236886633,0.08891902583828021,1.2464181950221496
14,6155,NORMAL,4,0.45174318840013045,0.3451926655104864,0.10655052288964406,1.3086697184949523
14,6155,NORMAL,5,0.4474102763128628,0.3517162261145919,0.09569405019827087,1.272077439404496
14,6155,NORMAL,6,0.420986110388597,0.35535099030072176,0.06563512008787525,1.1847050434060433
14,6155,NORMAL,7,0.4480896034927399,0.35199671833244184,0.09609288516029807,1.272993696121745
15,6535,NORMAL,0,0.26141167799550596,0.362649793484426,-0.10123811548892003,0.7208377963869771
15,6535,NORMAL,1,0.2591128095357056,0.394936285473439,-0.13582347593773342,0.6560876249319257
15,6535,NORMAL,2,0.22489433746406448,0.37555694726929745,-0.15066260980523297,0.598828856979715
15,6535,NORMAL,3,0.25454400329193333,0.3702059517856379,-0.11566194849370459,0.6875740437563876
15,6535,NORMAL,4,0.20019685583452562,0.3917691318236633,-0.19157227598913767,0.5110072222959999
15,6535,NORMAL,5,0.40078020403076486,0.3898012082363079,0.010978995794456992,1.0281656279212998
15,6535,NORMAL,6,0.3486404341468609,0.38215229983780485,-0.03351186569094394,0.9123075650593566
15,6535,NORMAL,7,0.3808692036424875,0.38447961834754363,-0.003610414705056131,0.9906096070304757
